X,Y,OBJECTID,STN_ID,STN_DESC,DNV_STN_ADDR_STR,STN_ADDR_ADDL_STR2,DMV_ADDR_REF,DMV_STN_ZPCD,DMV_STN_POFC_NM,DMV_STN_TERR_ABBR,DMV_WI_CNTY_NM,STN_LOC_LNGT_DEG,STN_LOC_LAT_DEG,FLD_SC_NM
367412.3707,429179.724400001,91,AL01,ALMA,407 S. 2nd Street,,,54610,Alma,WI,Buffalo,-91.913504,44.319853,Alma service center
586499.8144,521239.7863,92,AN01,ANTIGO,2124 Clermont Street,,,54409,Antigo,WI,Langlade,-89.153877,45.161503,Antigo service center
646267.1067,426041.5858,93,AP01,APPLETON,711 W. Association Drive,,,54914,Appleton,WI,Outagamie,-88.417186,44.296663,Appleton service center
450272.573,678411.3343,94,AS01,ASHLAND,2501 Golf Course Road,,,54806,Ashland,WI,Ashland,-90.90998,46.575648,Ashland service center
484932.8077,606703.8369,95,AS02,PARK FALLS,330 S. 4th Avenue,,,54552,Park Falls,WI,Price,-90.45233,45.933009,Park Falls service center
504982.5994,665540.642200001,96,AS03,HURLEY,1200 State Hwy 51N,,(at Hwys 51 and 2 intersection),54534,Hurley,WI,Iron,-90.195581,46.46327,Hurley service center
411516.0603,677912.2092,97,AS04,IRON RIVER,7615 Railroad Street,,,54847,Iron River,WI,Bayfield,-91.415527,46.566017,Iron River service center
405786.5328,617350.252,98,AS05,HAYWARD,"15614 Windrose Lane, Suite 340",,,54843,Hayward,WI,Sawyer,-91.475553,46.0202,Hayward service center
616444.7668,331801.402100001,99,BD01,BEAVER DAM,N7146 E. Plaza Drive,,,53916,Beaver Dam,WI,Dodge,-88.807962,43.452907,Beaver Dam service center
603033.6568,228348.0967,100,BL01,BELOIT,1900 Sutler Avenue,,,53511,Beloit,WI,Rock,-88.989075,42.523054,Beloit service center
605572.7558,566726.8594,101,CR01,CRANDON,110 S. Lake Avenue,,,54520,Crandon,WI,Forest,-88.903356,45.568818,Crandon service center
404277.7111,488878.3302,102,EC01,EAU CLAIRE - MELBY ST.,3115 Melby Street,,,54703,Eau Claire,WI,Chippewa,-91.464808,44.863928,Eau Claire service center
400744.8239,481148.6731,103,EC02,EAU CLAIRE SOUTH-W.CLAIREMONT,Eau Claire State Office Building,718 W. Clairemont Avenue,,54701,Eau Claire,WI,Eau Claire,-91.507697,44.793786,Eau Claire South service center
639740.6943,243907.5472,104,EK01,ELKHORN,835 S. Lincoln Street,,,53121,Elkhorn,WI,Walworth,-88.539022,42.65832,Elkhorn service center
577705.7395,604738.754000001,105,ER01,EAGLE RIVER,302 W. Pine Street,,,54521,Eagle River,WI,Vilas,-89.255913,45.913795,Eagle River service center
642540.5753,366335.7423,106,FD01,FOND DU LAC,833 S. Rolling Meadows Drive,,,54937,Fond du Lac,WI,Fond du Lac,-88.477702,43.759933,Fond du Lac service center
668033.1753,395916.0305,107,FD02,CHILTON,104 Southside Shopping Center,(on Chestnut Street),,53014,Chilton,WI,Calumet,-88.152949,44.021471,Chilton service center
